GenderSelect,Country,Age,EmploymentStatus,CurrentJobTitleSelect,LanguageRecommendationSelect,FormalEducation,MajorSelect,CompensationAmount,CompensationCurrency,
Male,Argentina,26,Employed full-time,Business Analyst,SQL,Bachelor's degree,Other,18000.00,ARS,
Male,Argentina,25,Employed full-time,Computer Scientist,Python,Bachelor's degree,Computer Science,24000.00,ARS,
Male,Argentina,24,Employed full-time,Machine Learning Engineer,Python,Bachelor's degree,Computer Science,247000.00,ARS,
Male,Argentina,25,Employed full-time,Machine Learning Engineer,Python,Bachelor's degree,"Information technology, networking, or system administration",546000.00,ARS,
Female,Australia,37,Employed part-time,Data Analyst,SQL,Bachelor's degree,Other,55000.00,AUD,
Male,Australia,24,Employed full-time,Statistician,R,Bachelor's degree,Mathematics or statistics,70000.00,AUD,
Female,Australia,23,Employed full-time,Data Analyst,SQL,Bachelor's degree,Other,78000.00,AUD,
Female,Australia,43,Employed full-time,Business Analyst,Python,Bachelor's degree,Other,80000.00,AUD,
Male,Australia,26,Employed full-time,Data Analyst,Python,Bachelor's degree,Engineering (non-computer focused),84000.00,AUD,
Male,Australia,27,Employed full-time,Data Analyst,Python,Bachelor's degree,Electrical Engineering,86000.00,AUD,
Male,Australia,33,Employed full-time,DBA/Database Engineer,R,Bachelor's degree,Computer Science,88000.00,AUD,
Male,Australia,57,Employed full-time,Data Analyst,Other,Bachelor's degree,Other,90000.00,AUD,
Male,Australia,30,Employed full-time,Data Analyst,Python,Bachelor's degree,Mathematics or statistics,97000.00,AUD,
Male,Australia,24,Employed full-time,Business Analyst,Python,Bachelor's degree,Engineering (non-computer focused),98000.00,AUD,
Male,Australia,24,Employed full-time,Other,Python,Bachelor's degree,Engineering (non-computer focused),100000.00,AUD,
Male,Australia,33,Employed full-time,Data Analyst,Python,Bachelor's degree,Computer Science,100000.00,AUD,
Male,Australia,50,"Independent contractor, freelancer, or self-employed",Data Analyst,R,Bachelor's degree,"Information technology, networking, or system administration",100000.00,AUD,
Female,Australia,32,Employed full-time,Scientist/Researcher,R,Bachelor's degree,Mathematics or statistics,110000.00,AUD,
Male,Australia,35,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,116000.00,AUD,
Male,Australia,25,Employed full-time,Data Analyst,Python,Bachelor's degree,A social science,120000.00,AUD,
Male,Australia,32,Employed full-time,Data Scientist,R,Bachelor's degree,Mathematics or statistics,120000.00,AUD,
Male,Australia,40,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,120000.00,AUD,
Male,Australia,27,Employed full-time,Data Scientist,R,Bachelor's degree,Mathematics or statistics,130000.00,AUD,
Male,Australia,28,Employed full-time,Machine Learning Engineer,Python,Bachelor's degree,Computer Science,130000.00,AUD,
Male,Australia,31,Employed full-time,Data Scientist,Python,Bachelor's degree,Mathematics or statistics,137000.00,AUD,
Male,Australia,37,Employed full-time,Data Scientist,Python,Bachelor's degree,Physics,147000.00,AUD,
Male,Australia,29,Employed full-time,Business Analyst,R,Bachelor's degree,Computer Science,150000.00,AUD,
Male,Australia,36,Employed full-time,Business Analyst,Python,Bachelor's degree,"Information technology, networking, or system administration",150000.00,AUD,
Male,Australia,38,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Other,150000.00,AUD,
Male,Australia,53,Employed full-time,Business Analyst,R,Bachelor's degree,Mathematics or statistics,150000.00,AUD,
Male,Australia,44,"Independent contractor, freelancer, or self-employed",Other,Python,Bachelor's degree,Computer Science,160000.00,AUD,
Male,Australia,36,Employed full-time,Data Scientist,R,Bachelor's degree,Other,166000.00,AUD,
Male,Australia,39,Employed full-time,Other,Python,Bachelor's degree,Computer Science,200000.00,AUD,
Male,Australia,40,Employed full-time,Other,R,Bachelor's degree,Physics,250000.00,AUD,
Male,Australia,43,Employed full-time,Data Scientist,SAS,Bachelor's degree,Electrical Engineering,250000.00,AUD,
Male,Australia,40,"Independent contractor, freelancer, or self-employed",Data Scientist,R,Bachelor's degree,Computer Science,250000.00,AUD,
Male,Australia,53,"Independent contractor, freelancer, or self-employed",Data Scientist,Java,Bachelor's degree,Computer Science,290000.00,AUD,
Male,Australia,39,Employed full-time,Predictive Modeler,R,Bachelor's degree,Mathematics or statistics,80000.00,AUD,
Female,Australia,29,Employed full-time,Business Analyst,SQL,Bachelor's degree,Engineering (non-computer focused),84000.00,AUD,
Male,Australia,33,Employed full-time,Data Analyst,SAS,Bachelor's degree,Mathematics or statistics,90000.00,AUD,
Male,Australia,28,Employed full-time,Data Analyst,Python,Bachelor's degree,Mathematics or statistics,120000.00,AUD,
Male,Australia,28,Employed full-time,Data Scientist,R,Bachelor's degree,Computer Science,120000.00,AUD,
Male,Australia,29,Employed full-time,Data Scientist,Python,Bachelor's degree,Electrical Engineering,130000.00,AUD,
Male,Australia,31,Employed full-time,Data Scientist,Python,Bachelor's degree,Computer Science,130000.00,AUD,
Male,Australia,31,Employed full-time,Data Analyst,SQL,Bachelor's degree,A social science,130000.00,AUD,
Male,Australia,39,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,140000.00,AUD,
Male,Australia,45,Employed full-time,Other,Python,Bachelor's degree,Computer Science,140000.00,AUD,
Male,Australia,33,Employed full-time,Data Scientist,R,Bachelor's degree,Other,150000.00,AUD,
Male,Australia,28,Employed full-time,Other,Python,Bachelor's degree,Other,200000.00,AUD,
Male,Brazil,26,Employed full-time,Other,Python,Bachelor's degree,Other,6700.00,BRL,
Male,Brazil,22,Employed part-time,Data Scientist,Python,Bachelor's degree,Computer Science,12000.00,BRL,
Male,Brazil,24,Employed part-time,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,14400.00,BRL,
Male,Brazil,23,Employed full-time,Scientist/Researcher,Python,Bachelor's degree,"Information technology, networking, or system administration",18000.00,BRL,
Male,Brazil,29,Employed full-time,Business Analyst,Python,Bachelor's degree,Management information systems,18000.00,BRL,
Male,Brazil,24,Employed part-time,Scientist/Researcher,Python,Bachelor's degree,Computer Science,18000.00,BRL,
Male,Brazil,26,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,24000.00,BRL,
Male,Brazil,21,Employed part-time,Data Scientist,Python,Bachelor's degree,Computer Science,24000.00,BRL,
Male,Brazil,24,Employed part-time,Engineer,Python,Bachelor's degree,Engineering (non-computer focused),24000.00,BRL,
Male,Brazil,26,Employed full-time,Engineer,R,Bachelor's degree,Other,25000.00,BRL,
Male,Brazil,27,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Other,45000.00,BRL,
Male,Brazil,29,Employed full-time,Statistician,Python,Bachelor's degree,I never declared a major,45000.00,BRL,
Male,Brazil,29,Employed full-time,Engineer,Python,Bachelor's degree,Electrical Engineering,45000.00,BRL,
Male,Brazil,25,Employed full-time,Data Scientist,R,Bachelor's degree,Physics,48000.00,BRL,
Male,Brazil,26,Employed full-time,Computer Scientist,R,Bachelor's degree,Computer Science,50000.00,BRL,
Male,Brazil,29,Employed full-time,Statistician,R,Bachelor's degree,Mathematics or statistics,50000.00,BRL,
Male,Brazil,30,Employed full-time,Programmer,Python,Bachelor's degree,Mathematics or statistics,52000.00,BRL,
Male,Brazil,28,Employed full-time,Other,Python,Bachelor's degree,Other,56200.00,BRL,
Male,Brazil,23,Employed full-time,Programmer,Python,Bachelor's degree,Computer Science,57600.00,BRL,
Male,Brazil,38,Employed full-time,Programmer,Python,Bachelor's degree,"Information technology, networking, or system administration",60000.00,BRL,
Male,Brazil,22,Employed part-time,DBA/Database Engineer,Python,Bachelor's degree,Computer Science,60000.00,BRL,
Male,Brazil,27,Employed full-time,Other,R,Bachelor's degree,Other,65000.00,BRL,
Male,Brazil,38,Employed full-time,Software Developer/Software Engineer,Scala,Bachelor's degree,Computer Science,80000.00,BRL,
Male,Brazil,29,Employed full-time,Data Analyst,R,Bachelor's degree,Mathematics or statistics,84500.00,BRL,
Male,Brazil,51,Employed full-time,Data Analyst,R,Bachelor's degree,Mathematics or statistics,90000.00,BRL,
Male,Brazil,44,Employed part-time,Business Analyst,Python,Bachelor's degree,A humanities discipline,90000.00,BRL,
Male,Brazil,28,Employed full-time,Data Analyst,Scala,Bachelor's degree,Computer Science,98000.00,BRL,
Male,Brazil,30,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,I never declared a major,100000.00,BRL,
Male,Brazil,32,Employed full-time,Data Analyst,R,Bachelor's degree,Electrical Engineering,100000.00,BRL,
Male,Brazil,36,Employed full-time,Programmer,Python,Bachelor's degree,Electrical Engineering,100000.00,BRL,
Male,Brazil,42,"Independent contractor, freelancer, or self-employed",Data Scientist,R,Bachelor's degree,Mathematics or statistics,100000.00,BRL,
Male,Brazil,32,Employed full-time,Data Scientist,R,Bachelor's degree,Computer Science,105000.00,BRL,
Male,Brazil,30,Employed full-time,Data Scientist,Python,Bachelor's degree,"Information technology, networking, or system administration",110000.00,BRL,
Male,Brazil,31,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,120000.00,BRL,
Male,Brazil,32,Employed full-time,DBA/Database Engineer,R,Bachelor's degree,"Information technology, networking, or system administration",120000.00,BRL,
Male,Brazil,25,Employed full-time,Data Analyst,Python,Bachelor's degree,Other,130000.00,BRL,
Male,Brazil,28,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,140000.00,BRL,
Male,Brazil,36,Employed full-time,Data Analyst,R,Bachelor's degree,Mathematics or statistics,140000.00,BRL,
Male,Brazil,28,Employed full-time,Data Scientist,Python,Bachelor's degree,Mathematics or statistics,150000.00,BRL,
Male,Brazil,41,Employed full-time,Other,R,Bachelor's degree,Computer Science,150000.00,BRL,
Male,Brazil,34,Employed full-time,Software Developer/Software Engineer,R,Bachelor's degree,Computer Science,170000.00,BRL,
Male,Brazil,37,"Independent contractor, freelancer, or self-employed",Data Scientist,Python,Bachelor's degree,Engineering (non-computer focused),200000.00,BRL,
Male,Brazil,38,"Independent contractor, freelancer, or self-employed",Data Analyst,Python,Bachelor's degree,Computer Science,200000.00,BRL,
Male,Brazil,35,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,240000.00,BRL,
Male,Brazil,52,Employed full-time,Programmer,Python,Bachelor's degree,Computer Science,320000.00,BRL,
Male,Canada,22,Employed full-time,Data Scientist,Python,Bachelor's degree,"Information technology, networking, or system administration",45000.00,CAD,
Male,Canada,24,Employed full-time,Data Analyst,R,Bachelor's degree,A social science,55000.00,CAD,
Male,Canada,25,Employed full-time,Business Analyst,Python,Bachelor's degree,A health science,60000.00,CAD,
Male,Canada,22,"Independent contractor, freelancer, or self-employed",Researcher,R,Bachelor's degree,Mathematics or statistics,60000.00,CAD,
Female,Canada,24,Employed full-time,Data Scientist,Python,Bachelor's degree,Mathematics or statistics,64500.00,CAD,
Male,Canada,25,Employed full-time,Business Analyst,Python,Bachelor's degree,Mathematics or statistics,67000.00,CAD,
Male,Canada,23,Employed full-time,Other,Python,Bachelor's degree,Mathematics or statistics,70000.00,CAD,
Male,Canada,28,Employed full-time,Data Analyst,Python,Bachelor's degree,A social science,70000.00,CAD,
Male,Canada,28,Employed full-time,Data Analyst,Python,Bachelor's degree,A social science,70000.00,CAD,
Female,Canada,61,"Independent contractor, freelancer, or self-employed",Business Analyst,SQL,Bachelor's degree,Mathematics or statistics,70000.00,CAD,
Male,Canada,27,Employed full-time,Data Analyst,R,Bachelor's degree,Other,71000.00,CAD,
Male,Canada,24,Employed full-time,Business Analyst,Python,Bachelor's degree,A social science,75000.00,CAD,
Male,Canada,28,Employed full-time,Programmer,Python,Bachelor's degree,"Information technology, networking, or system administration",75000.00,CAD,
Male,Canada,50,Employed full-time,Programmer,Python,Bachelor's degree,Computer Science,75000.00,CAD,
Male,Canada,25,"Independent contractor, freelancer, or self-employed",Data Scientist,Python,Bachelor's degree,Physics,75000.00,CAD,
Male,Canada,24,Employed full-time,Data Analyst,Python,Bachelor's degree,Computer Science,80000.00,CAD,
Male,Canada,26,Employed full-time,Researcher,Python,Bachelor's degree,Mathematics or statistics,80000.00,CAD,
Male,Canada,28,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Electrical Engineering,83000.00,CAD,
Male,Canada,29,Employed full-time,Data Analyst,R,Bachelor's degree,Other,83001.00,CAD,
Male,Canada,26,Employed full-time,Machine Learning Engineer,Python,Bachelor's degree,Computer Science,85000.00,CAD,
Male,Canada,41,Employed full-time,Other,SQL,Bachelor's degree,A social science,105000.00,CAD,
Male,Canada,45,Employed full-time,Data Scientist,Python,Bachelor's degree,Other,115000.00,CAD,
Male,Canada,63,Employed full-time,Data Scientist,R,Bachelor's degree,Physics,120000.00,CAD,
Male,Canada,40,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,122000.00,CAD,
Male,Canada,47,Employed full-time,DBA/Database Engineer,Python,Bachelor's degree,Computer Science,125000.00,CAD,
Male,Canada,31,Employed full-time,Data Analyst,R,Bachelor's degree,Other,126850.00,CAD,
Male,Canada,44,Employed full-time,Other,Python,Bachelor's degree,A social science,135000.00,CAD,
Male,Canada,43,Employed full-time,Machine Learning Engineer,Python,Bachelor's degree,Other,140000.00,CAD,
Male,Canada,36,Employed full-time,Machine Learning Engineer,Python,Bachelor's degree,Computer Science,150000.00,CAD,
Male,Canada,40,Employed full-time,Other,R,Bachelor's degree,Mathematics or statistics,195000.00,CAD,
A different identity,Switzerland,28,Employed full-time,Data Scientist,Python,Bachelor's degree,Computer Science,90000.00,CHF,
Male,Switzerland,45,Employed full-time,Business Analyst,R,Bachelor's degree,"Information technology, networking, or system administration",125000.00,CHF,
Male,Chile,26,"Independent contractor, freelancer, or self-employed",Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,170000.00,CLP,
Male,Chile,25,Employed part-time,Data Scientist,Python,Bachelor's degree,Mathematics or statistics,6000000.00,CLP,
Male,Chile,27,Employed full-time,Data Scientist,R,Bachelor's degree,Engineering (non-computer focused),12000000.00,CLP,
Male,Chile,30,Employed full-time,Data Analyst,R,Bachelor's degree,Engineering (non-computer focused),15000000.00,CLP,
Male,Chile,32,Employed full-time,Business Analyst,SQL,Bachelor's degree,Engineering (non-computer focused),25900000.00,CLP,
Male,People 's Republic of China,30,Employed full-time,Data Miner,R,Bachelor's degree,Computer Science,8000.00,CNY,
Male,People 's Republic of China,22,"Independent contractor, freelancer, or self-employed",Computer Scientist,Python,Bachelor's degree,Computer Science,20000.00,CNY,
Male,People 's Republic of China,27,Employed full-time,Scientist/Researcher,Python,Bachelor's degree,Electrical Engineering,43000.00,CNY,
Male,People 's Republic of China,22,Employed full-time,Data Analyst,SQL,Bachelor's degree,Other,80000.00,CNY,
Female,People 's Republic of China,24,Employed full-time,Other,Python,Bachelor's degree,Mathematics or statistics,90000.00,CNY,
Male,People 's Republic of China,28,Employed part-time,Software Developer/Software Engineer,Python,Bachelor's degree,Other,100000.00,CNY,
Male,People 's Republic of China,24,Employed full-time,Data Miner,Python,Bachelor's degree,Other,150000.00,CNY,
Male,People 's Republic of China,35,Employed full-time,Data Analyst,R,Bachelor's degree,Other,150000.00,CNY,
Female,People 's Republic of China,26,Employed full-time,Data Scientist,Python,Bachelor's degree,Mathematics or statistics,160000.00,CNY,
Male,People 's Republic of China,27,Employed full-time,Engineer,Python,Bachelor's degree,Mathematics or statistics,170000.00,CNY,
Male,People 's Republic of China,25,Employed full-time,Software Developer/Software Engineer,Java,Bachelor's degree,Computer Science,200000.00,CNY,
Male,People 's Republic of China,33,Employed full-time,Data Analyst,SQL,Bachelor's degree,"Information technology, networking, or system administration",200000.00,CNY,
Female,People 's Republic of China,26,Employed part-time,Business Analyst,Python,Bachelor's degree,A health science,240000.00,CNY,
Male,People 's Republic of China,31,Employed full-time,Machine Learning Engineer,Python,Bachelor's degree,Computer Science,250000.00,CNY,
Male,People 's Republic of China,28,Employed full-time,DBA/Database Engineer,Python,Bachelor's degree,Computer Science,300000.00,CNY,
Male,People 's Republic of China,31,Employed full-time,Data Analyst,Python,Bachelor's degree,Mathematics or statistics,300000.00,CNY,
Male,People 's Republic of China,41,"Independent contractor, freelancer, or self-employed",Other,R,Bachelor's degree,Other,300000.00,CNY,
Female,People 's Republic of China,28,Employed full-time,Business Analyst,SQL,Bachelor's degree,Other,320000.00,CNY,
Male,People 's Republic of China,21,Employed part-time,Engineer,C/C++/C#,Bachelor's degree,Other,320000.00,CNY,
Male,People 's Republic of China,25,Employed full-time,Machine Learning Engineer,Python,Bachelor's degree,Mathematics or statistics,400000.00,CNY,
Male,People 's Republic of China,26,Employed full-time,Machine Learning Engineer,Python,Bachelor's degree,Computer Science,400000.00,CNY,
Male,People 's Republic of China,32,Employed full-time,Other,Python,Bachelor's degree,Mathematics or statistics,500000.00,CNY,
Male,People 's Republic of China,28,Employed full-time,Software Developer/Software Engineer,Matlab,Bachelor's degree,Mathematics or statistics,640000.00,CNY,
Male,Colombia,22,Employed part-time,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,14000000.00,COP,
Male,Colombia,25,Employed full-time,Data Scientist,Python,Bachelor's degree,Electrical Engineering,25000000.00,COP,
Female,Colombia,24,Employed full-time,Data Analyst,Python,Bachelor's degree,Computer Science,28400000.00,COP,
Female,Colombia,28,"Independent contractor, freelancer, or self-employed",Statistician,Python,Bachelor's degree,Management information systems,33000000.00,COP,
A different identity,Colombia,22,Employed full-time,Engineer,Python,Bachelor's degree,Engineering (non-computer focused),39000000.00,COP,
Male,Colombia,31,Employed full-time,Data Scientist,R,Bachelor's degree,A social science,96000000.00,COP,
Male,Czech Republic,25,Employed part-time,Data Miner,Python,Bachelor's degree,A humanities discipline,100000.00,CZK,
Male,Denmark,24,Employed part-time,Data Scientist,R,Bachelor's degree,Computer Science,312000.00,DKK,
Female,Egypt,23,Employed full-time,Data Scientist,R,Bachelor's degree,Computer Science,8500.00,EGP,
Male,Egypt,33,Employed full-time,Other,Python,Bachelor's degree,A health science,84000.00,EGP,
Male,Egypt,30,Employed full-time,Engineer,Python,Bachelor's degree,Electrical Engineering,150000.00,EGP,
Male,Ireland,21,Employed full-time,Data Scientist,Python,Bachelor's degree,Physics,25000.00,EUR,
Male,Belarus,24,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Mathematics or statistics,25000.00,EUR,
Male,Finland,27,Employed full-time,Data Analyst,R,Bachelor's degree,Other,25000.00,EUR,
Male,Portugal,32,Employed full-time,Data Scientist,Python,Bachelor's degree,Mathematics or statistics,25000.00,EUR,
Male,France,47,Employed full-time,Other,Python,Bachelor's degree,Computer Science,25000.00,EUR,
Male,France,22,Employed full-time,Data Analyst,C/C++/C#,Bachelor's degree,"Information technology, networking, or system administration",26000.00,EUR,
Male,Spain,30,Employed full-time,Data Analyst,Python,Bachelor's degree,"Information technology, networking, or system administration",26000.00,EUR,
Male,Spain,32,Employed full-time,Data Analyst,R,Bachelor's degree,"Information technology, networking, or system administration",28000.00,EUR,
Male,Finland,23,Employed full-time,Data Analyst,R,Bachelor's degree,Mathematics or statistics,30000.00,EUR,
Male,Italy,33,Employed full-time,Other,R,Bachelor's degree,A humanities discipline,30000.00,EUR,
Male,Italy,22,"Independent contractor, freelancer, or self-employed",Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,30000.00,EUR,
Male,Spain,38,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,33000.00,EUR,
Male,Spain,33,Employed full-time,Data Scientist,Python,Bachelor's degree,Physics,35000.00,EUR,
Male,Italy,35,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,35000.00,EUR,
